CityState,city,state,Population,White Population,Black Population,Native American Population,Asian Population,Hispanic Population,Education None,Education High School,Education GED,Education Associates,Education Bachelors,Education Masters,Education Professional,Education Doctorate,Poverty,Employment Labor Force,Employment Unemployed,Employment Male Computer Engineering,Employment Female Computer Engineering,Median Age,Median Male Age,Median Female Age,Household Income,Income Per Capita,Median Gross Rent,Median Home Value,lat,lng
"PHOENIX, AZ",PHOENIX,AZ,1369844,1019324,91469,29357,44502,586283,16461,173724,33046,64238,144650,55564,15281,7456,330311,677571,60961,22632,7597,34.41428571,33.85714286,35.07619048,49920.66667,26301.83333,961.2380952,181840.4762,33.52776579,-112.0834491
"DALLAS, TX",DALLAS,TX,1329726,815173,308551,3767,41410,545746,21398,155560,26276,37321,165506,66219,25010,9475,304500,687702,52809,20981,7191,33.96666667,33.35416667,34.7,51959.39583,33505.1875,943.6458333,223186.6667,32.81026212,-96.80036628
"SAN DIEGO, CA",SAN DIEGO,CA,1306582,819451,90123,7358,229690,377202,17019,127651,15449,65092,223761,95417,28062,24623,192084,719864,57289,49286,16821,33.09722222,32.625,33.61944444,77168.96774,34919.88889,1491.354839,514990.3226,32.78848784,-117.1379255
"MINNEAPOLIS, MN",MINNEAPOLIS,MN,1059766,758785,145455,9044,73863,81230,12488,122916,20406,62085,198751,75892,22010,11974,146616,611461,40548,34482,12038,36.14,35.264,36.996,66141.14583,37016.32,1004.102041,232647.9167,44.98325998,-93.30704435
"DENVER, CO",DENVER,CO,1028894,816625,74566,11137,34567,330590,9575,118208,30029,44461,171459,72252,20840,10750,164494,583823,39577,27027,10093,34.82368421,34.15263158,35.41315789,57185.15789,34953.63158,1026.263158,270865.7895,39.74104212,-104.9783516
"AUSTIN, TX",AUSTIN,TX,1027371,785903,74586,4572,68651,335989,8696,92449,18349,36424,208250,84089,21489,16571,166161,593999,34529,42280,13249,34.60454545,34.38409091,34.79772727,71627.34884,38839.86364,1167.674419,297683.7209,30.30535109,-97.76759189
"SAN JOSE, CA",SAN JOSE,CA,1024666,452451,30549,6104,339947,342454,20487,109829,14456,53153,161274,77876,11796,13210,113961,544857,46544,50882,14743,36.825,36.26071429,37.39285714,91940.5,38731.64286,1713.607143,598103.5714,37.30849446,-121.8577963
"ATLANTA, GA",ATLANTA,GA,950416,424542,426685,4222,49200,97430,6481,102863,15021,33864,181339,86542,28694,14367,188146,524821,51908,26005,10710,33.01538462,32.81794872,33.34358974,55902.32432,36804.94872,1026.972973,260986.1111,33.7976118,-84.38422475
"ORLANDO, FL",ORLANDO,FL,935485,587045,211392,2090,51552,293056,8802,141226,22410,64440,121667,41846,9955,5397,172544,512259,47818,16567,4683,34.75,33.69032258,35.11612903,51566.33333,26399.46875,1111.4,178420.0,28.50177459,-81.34150403
"INDIANAPOLIS, IN",INDIANAPOLIS,IN,933995,589097,252100,2518,23475,90111,7474,143377,28286,43406,115329,43201,11665,6419,189971,492109,48913,14935,5988,36.22432432,34.6972973,37.62162162,51174.83784,28196.18919,869.0,132586.1111,39.80647338,-86.14090286
"SAINT LOUIS, MO",SAINT LOUIS,MO,926277,554227,313530,1813,28109,28712,5582,123700,22598,43516,136180,68618,21393,13058,160968,490882,46709,18595,7329,37.46,36.04666667,38.52444444,50134.2,31416.57778,854.0444444,185306.9767,38.63841198,-90.30028359
"TUCSON, AZ",TUCSON,AZ,894126,692157,33377,24915,25626,333819,7948,107958,24349,49787,101917,51632,12271,11650,175617,432227,43557,18376,6105,39.24375,38.25625,40.21875,51534.51613,27108.125,917.9032258,182600.0,32.23578191,-110.9593239
"SEATTLE, WA",SEATTLE,WA,890619,596744,74003,7174,126819,78890,9551,76102,14982,48198,200601,86420,26808,18488,121329,533934,32643,42852,15303,38.3,37.78571429,38.64705882,67507.52941,43074.71429,1145.666667,417417.6471,47.59344966,-122.3299861
"PORTLAND, OR",PORTLAND,OR,882233,692328,43027,5967,69239,87596,8126,89307,20430,46313,169107,75896,21325,13510,140435,497402,41037,27446,9480,37.96060606,37.55454545,38.59090909,58080.0,36114.0,990.6060606,345578.125,45.51897829,-122.659133
"FORT WORTH, TX",FORT WORTH,TX,862814,583743,153823,4751,28327,302647,10823,117322,25307,32525,87182,32752,6732,4703,162853,426926,33028,14184,4576,32.60625,31.984375,33.228125,50795.51613,24620.5625,940.1612903,123580.0,32.75519641,-97.33411737
"CHARLOTTE, NC",CHARLOTTE,NC,852368,447893,290917,2751,47369,114079,7360,95414,13392,40850,152810,56437,12749,5435,139521,476405,44486,20697,7378,34.20833333,33.4625,34.89166667,59646.41667,36061.125,963.0416667,224445.8333,35.20567504,-80.82958796
"SAN FRANCISCO, CA",SAN FRANCISCO,CA,840838,409698,46844,2854,284426,128661,19589,74570,9390,36502,215189,92048,31357,16567,109560,513585,34785,39341,14900,38.43571429,37.97407407,39.03571429,86977.30769,57324.35714,1696.777778,862884.0,37.76422925,-122.4285599
"JACKSONVILLE, FL",JACKSONVILLE,FL,835368,500136,257277,2032,37197,70983,6679,137669,24345,53558,101701,32739,8431,4101,144999,433102,43772,14474,5575,35.28387097,33.93870968,36.87419355,47525.93333,24525.58065,977.6,137942.8571,30.30387261,-81.64841771
"MILWAUKEE, WI",MILWAUKEE,WI,814322,465951,248432,4547,29590,123677,8475,124469,20345,36708,97190,37802,9399,6147,188360,415600,41250,13090,4547,34.43103448,33.17241379,34.75517241,43695.28571,25459.62069,827.5357143,147339.2857,43.05350255,-87.96886317
"COLUMBUS, OH",COLUMBUS,OH,809714,514331,217673,1633,28816,46207,7897,116762,18724,32570,114726,46632,13126,9503,174808,435250,35182,18000,6505,32.93666667,32.08,33.75666667,44047.23333,25934.83333,823.1333333,141058.6207,39.99691197,-82.9850254
"FORT LAUDERDALE, FL",FORT LAUDERDALE,FL,806021,496202,241605,1578,24780,198039,9472,132118,19520,53087,116299,45128,15810,6789,125030,436468,42893,10708,3532,41.55555556,40.74444444,42.16666667,63799.14815,35951.59259,1387.148148,263062.963,26.12629881,-80.23590515
"CINCINNATI, OH",CINCINNATI,OH,795621,542918,207222,1062,18198,22833,4993,125701,17338,42129,114887,49036,13907,8633,143239,417434,36734,16413,7141,36.96888889,35.36,38.10444444,48729.88889,30002.95556,743.0888889,153473.3333,39.17194322,-84.48767329
"EL PASO, TX",EL PASO,TX,780057,654251,27808,5010,8907,630073,15539,86774,26849,34090,71181,24142,4856,2992,167324,355698,28021,7368,2466,32.72608696,31.04782609,34.61818182,45420.63636,20213.04348,830.5454545,127675.0,31.75108317,-106.1882851
"SAINT PAUL, MN",SAINT PAUL,MN,779370,571257,73856,4187,86457,52791,11086,92407,13418,46092,136823,56497,15794,11688,100025,432249,27491,23500,9740,36.64482759,35.38965517,37.83103448,65228.51724,34805.89655,957.5517241,213503.4483,44.94957423,-93.09908723
"SACRAMENTO, CA",SACRAMENTO,CA,779224,409265,100228,6598,131863,207890,18228,97463,15683,45419,90623,30559,12259,5479,173590,382510,49107,13873,6679,35.52857143,34.61071429,36.3,52297.14286,28421.07143,1042.0,255214.2857,38.57065746,-121.4395023
"TAMPA, FL",TAMPA,FL,757099,511362,153187,2955,31647,217343,7792,114999,20355,44521,102750,40655,13137,7344,147938,402374,39250,14846,4991,34.86666667,33.84814815,35.81851852,50951.96154,28430.22222,1047.115385,170456.0,27.99701719,-82.47990352
"CLEVELAND, OH",CLEVELAND,OH,756237,408054,292904,2648,18423,53285,6909,134204,22072,36170,72078,34313,10891,6084,187112,372806,50368,11069,4180,37.47586207,35.87241379,38.85172414,35129.96429,21788.51724,703.5,92150.0,41.47910545,-81.64760121
"LOUISVILLE, KY",LOUISVILLE,KY,751143,547454,156130,1170,17999,34321,5402,113440,28826,38844,92162,46806,12153,6776,120458,392559,33206,11977,4000,36.925,35.615625,38.384375,47944.875,26856.21875,783.46875,160367.7419,38.209388,-85.69219676
"MEMPHIS, TN",MEMPHIS,TN,700919,212935,441238,1318,11074,45956,6348,115568,18279,25450,67479,28359,7740,5657,180572,347861,42501,6967,3624,34.16153846,32.63846154,35.6,40954.44,22830.26923,861.08,111140.0,35.12138064,-89.95126104
"PITTSBURGH, PA",PITTSBURGH,PA,688658,526699,112529,993,28451,14580,3988,116018,17873,42407,109028,57709,16546,12924,98191,372945,26907,19138,7123,38.88461538,37.35384615,40.68205128,52713.76923,33228.74359,826.7948718,138930.7692,40.4454959,-79.97848232
"OKLAHOMA CITY, OK",OKLAHOMA CITY,OK,666604,446039,101528,20932,25037,121063,5714,98618,19159,29979,74285,25589,7328,3597,125183,340624,21437,11434,3661,34.99302326,34.07209302,35.88837209,51632.16279,27342.88372,840.1904762,140254.7619,35.47245905,-97.52034228
"ALBUQUERQUE, NM",ALBUQUERQUE,NM,653086,467384,19880,27893,15515,323876,5704,85844,18243,33733,77209,43364,9739,10421,126414,327212,27213,15730,4922,37.00588235,35.88823529,38.2,50129.17647,27727.35294,868.0588235,204206.25,35.10949888,-106.6091928
"DETROIT, MI",DETROIT,MI,651443,86768,526540,2131,3546,52630,8152,105218,27552,27167,32975,17117,2872,2390,259028,268396,67144,3124,1689,35.88,34.168,37.388,24956.32,15836.04,745.64,52312.0,42.36500029,-83.1004595
"WASHINGTON, DC",WASHINGTON,DC,647343,260208,316431,2154,23822,65797,5198,69664,12019,14040,105874,85795,37856,18221,110365,376931,35811,20395,14121,33.71034483,33.63793103,34.39642857,79608.26087,46204.72414,1504.347826,509163.6364,38.90285335,-77.02679825
"BALTIMORE, MD",BALTIMORE,MD,635338,217493,371688,1662,19340,28576,5606,102964,20036,19536,69710,40944,13402,9544,134459,322345,39276,11587,6608,33.39090909,32.17272727,34.39545455,47373.55,25926.36364,998.05,178530.0,39.31134783,-76.62106148
"SALT LAKE CITY, UT",SALT LAKE CITY,UT,610183,470943,13386,6488,27792,133644,4920,76778,11329,29872,78440,29908,9198,7891,96801,329631,20536,14053,4969,31.74782609,31.20869565,32.4173913,56344.52381,29039.52174,940.7727273,239004.7619,40.72425217,-111.8777305
"FRESNO, CA",FRESNO,CA,588307,316930,42797,6305,74481,282731,17059,70349,10413,26871,47473,14190,5452,3102,167403,265080,36753,4826,1933,32.01111111,30.98333333,32.95555556,44537.0,20429.72222,937.7222222,171611.1111,36.77866489,-119.7972869
"BUFFALO, NY",BUFFALO,NY,564300,388052,116938,1831,23616,37974,4961,88325,16509,40840,61773,38491,7951,5998,111903,284081,23178,7963,3021,36.25,34.44642857,38.03571429,41178.14815,24617.10714,723.037037,117300.0,42.91345636,-78.82833757
"KANSAS CITY, MO",KANSAS CITY,MO,555527,351120,145477,2363,13721,51831,4654,85089,13886,26406,75273,32048,8255,4316,97040,298964,22977,10690,4493,36.82857143,36.02708333,37.64583333,53804.02222,29322.73469,827.4883721,153739.1304,39.10221471,-94.55077163
"COLORADO SPRINGS, CO",COLORADO SPRINGS,CO,555200,439874,34481,3430,16383,93260,2059,61377,13083,38696,77140,38368,6177,4594,68082,293276,23371,15255,3919,34.46896552,33.53793103,35.71724138,64080.82143,28682.55172,1144.814815,230048.0,38.84549723,-104.7358872
"BAKERSFIELD, CA",BAKERSFIELD,CA,544579,391324,34178,7368,27487,268194,9105,73673,11455,23805,37476,12757,4025,2213,121323,248887,30269,4943,1675,31.1,30.41818182,31.85454545,56294.18182,23591.36364,1051.090909,180436.3636,35.35763691,-119.0174475
"OMAHA, NE",OMAHA,NE,535835,422149,60798,3350,17626,64514,5776,65200,11441,25269,82463,29396,8984,5020,75983,295438,16935,12295,4189,34.38387097,33.58709677,35.07741935,58872.26667,29080.41935,873.9,150143.3333,41.26072732,-96.04423635
"RALEIGH, NC",RALEIGH,NC,519623,330581,136910,1517,21611,56063,3420,47676,8041,25545,106092,40355,8918,7560,72246,290552,19814,19552,7351,34.38666667,33.64666667,35.04666667,62716.0,36580.8,927.6,266466.6667,35.8269986,-78.6503238
"MESA, AZ",MESA,AZ,499676,424578,17105,11005,9420,129263,4285,75181,14394,29593,53185,20643,3867,2664,83022,239220,19333,9030,2415,39.5,38.2,40.66153846,50552.84615,25474.23077,977.1538462,157553.8462,33.41493277,-111.7294165
"BIRMINGHAM, AL",BIRMINGHAM,AL,497450,251913,217799,909,11585,21189,2755,61317,10270,24047,78149,32190,13623,7324,92560,251629,21963,7818,3280,36.77,35.35666667,38.28,45750.39286,25761.86667,800.1724138,166693.1034,33.50513607,-86.80017447
"DAYTON, OH",DAYTON,OH,480920,344041,107555,1408,10757,13524,2616,73600,12138,30391,53895,30486,5850,4121,87419,236840,22148,10612,3027,39.38214286,37.75,40.44285714,49304.33333,25390.17857,782.4074074,110815.3846,39.74427514,-84.17703836
"LONG BEACH, CA",LONG BEACH,CA,479579,256383,61188,5535,62145,202920,13936,52053,6147,25313,58015,22466,6024,3378,96432,248061,26269,7290,2913,38.13333333,37.50833333,37.86666667,57630.72727,30357.66667,1186.818182,442490.9091,33.793865,-118.1646908
"ROCHESTER, NY",ROCHESTER,NY,476505,320479,107387,2331,17520,51070,5206,70289,15558,36377,57006,30453,6007,4793,90755,244779,22511,11029,3715,36.1375,34.53333333,37.925,43822.31818,24268.91667,819.9090909,111571.4286,43.16797808,-77.62021417
"STATEN ISLAND, NY",STATEN ISLAND,NY,472481,355926,49754,1152,37927,84336,3957,89721,13296,25382,59189,30343,6853,2841,58470,224772,15386,6773,2344,38.11666667,36.375,39.59166667,70786.41667,30952.33333,1159.666667,436658.3333,40.58773208,-74.14975646
"VIRGINIA BEACH, VA",VIRGINIA BEACH,VA,448290,303675,86557,1397,28973,33648,2207,56389,10318,30578,66094,26097,5743,2994,36267,251429,13891,9441,3038,32.75833333,31.54166667,34.29166667,66290.4,30293.75,1298.3,283244.4444,36.80811475,-76.063118
"POMPANO BEACH, FL",POMPANO BEACH,FL,448035,288281,117745,1282,16570,96486,4670,80924,10281,27939,60726,20139,6242,2839,63674,239348,24700,6140,1962,41.16666667,39.21666667,42.76666667,58964.0,30047.25,1295.166667,215475.0,26.26242608,-80.1908295
"HOLLYWOOD, FL",HOLLYWOOD,FL,446874,266223,126024,1089,19067,164054,4678,73702,9860,33485,56670,23595,6818,3669,53178,242491,24511,6269,2162,40.27777778,38.43333333,41.91111111,59263.33333,28558.55556,1387.0,211966.6667,26.00702867,-80.251041
"NASHVILLE, TN",NASHVILLE,TN,442928,281561,119841,1091,15250,38214,4314,55394,10745,16460,75790,30005,10130,7497,84207,246975,18014,7942,3469,34.47272727,33.45454545,35.61363636,52574.7,32200.09091,954.45,236694.7368,36.14645517,-86.79199383
"RIVERSIDE, CA",RIVERSIDE,CA,438804,283755,22684,4932,29780,234498,7718,58940,6768,18908,32823,15031,3516,3381,76732,215739,28205,4907,1595,32.175,31.3375,33.1625,61790.0,23171.25,1225.875,265275.0,33.93956588,-117.3960755
"TULSA, OK",TULSA,OK,419483,275972,60998,18632,11163,61087,3246,59725,10656,21331,54430,18350,6486,2992,81386,214162,15365,7209,2186,35.65357143,34.44285714,36.63214286,44540.53571,25845.17857,774.8148148,120914.8148,36.13549657,-95.93532686
"NEW ORLEANS, LA",NEW ORLEANS,LA,415247,160847,229241,982,11942,23888,3119,59808,8563,13008,57817,24623,12068,5991,102960,212475,20593,5985,3338,36.45789474,35.68947368,37.1,38920.15789,28193.94737,932.2105263,221400.0,29.97223843,-90.05635681
"WICHITA, KS",WICHITA,KS,414533,316705,45774,4080,20494,64148,3189,59315,11607,17842,50122,19113,4065,2524,69656,210802,15923,8566,2088,35.3,34.53076923,35.86538462,58639.30769,28540.61538,829.5454545,153634.6154,37.69183178,-97.32654041
"AURORA, CO",AURORA,CO,413950,269315,58923,3199,25659,106480,3611,52209,9671,25047,55082,20526,3925,2642,55484,224703,18196,9524,3660,33.22727273,32.32727273,34.35454545,64337.5,27356.0,1138.0,212720.0,39.69547936,-104.780793
"KNOXVILLE, TN",KNOXVILLE,TN,403820,341190,39773,1193,8821,16028,2219,56010,12076,22868,58031,24218,7448,6385,63775,210135,13350,8565,2666,36.64444444,35.66111111,37.73888889,49122.16667,27924.5,817.8888889,168211.1111,35.96566611,-83.98184928
"OAKLAND, CA",OAKLAND,CA,399727,159205,99506,3023,66094,104549,10885,40152,4349,15725,62036,32518,10843,6978,79296,216336,22450,9377,4356,35.89285714,35.42142857,36.31428571,61788.92308,35308.14286,1175.923077,487269.2308,37.79464986,-122.2186319
"ARLINGTON, TX",ARLINGTON,TX,384187,252109,77072,1688,28118,108879,4379,45507,10161,17602,48481,16638,2691,2789,66025,205601,15190,8215,1950,33.53333333,32.775,34.3,56641.08333,26343.25,1026.5,133816.6667,32.69954333,-97.12245267
"BATON ROUGE, LA",BATON ROUGE,LA,379907,178394,177321,697,13860,15716,2139,54408,5402,12628,53159,20370,5502,5141,76966,201671,15764,8224,2582,32.55882353,31.11764706,33.87647059,48264.0,24945.23529,839.2352941,167193.75,30.44617132,-91.10957868
"RICHMOND, VA",RICHMOND,VA,376938,175035,169876,1540,9865,30226,4543,51770,11835,16083,52086,22073,5665,3556,73213,205681,19297,5764,2849,35.96428571,34.97857143,36.92857143,48533.71429,30299.57143,964.9285714,199528.5714,37.52831287,-77.4672776
"STOCKTON, CA",STOCKTON,CA,365162,173222,36723,2695,68760,160868,10172,46428,8297,19483,24658,7633,2688,1658,88164,161263,25106,2613,769,31.79166667,30.825,32.75,45617.18182,18560.91667,997.2727273,170445.4545,37.98990475,-121.3147373
"HIALEAH, FL",HIALEAH,FL,363297,334946,13714,251,2392,334387,6796,81054,7101,22084,32491,8836,3237,1055,83272,182923,17898,2920,867,41.27142857,39.92857143,42.68571429,37090.42857,16783.42857,1109.0,168571.4286,25.88842329,-80.31255743
"ANAHEIM, CA",ANAHEIM,CA,362709,244772,8362,1261,58444,192732,6554,49816,4210,14654,40123,10634,3151,1982,60213,188280,17234,5862,1776,35.3,34.24285714,36.42857143,69156.57143,28000.57143,1531.142857,448871.4286,33.835015,-117.8793946
"GRAND RAPIDS, MI",GRAND RAPIDS,MI,358636,266352,53710,1865,10916,41590,4027,47565,7879,18188,50722,20720,4659,3042,66849,190894,16303,6561,1931,33.875,32.71666667,35.125,50027.66667,25786.58333,790.9166667,134925.0,42.9498555,-85.64520942
"SANTA ANA, CA",SANTA ANA,CA,357915,185843,4066,1889,38315,263285,11053,41660,5078,11100,22016,7098,2824,1098,72852,177573,14088,3691,995,31.55,30.81666667,32.36666667,57888.83333,20584.5,1315.5,425783.3333,33.74289683,-117.8688985
"SPRING, TX",SPRING,TX,351400,275659,28585,1545,20949,70348,1973,34154,6546,18207,65792,25231,4895,4227,21975,180913,8559,11126,3347,36.5375,35.475,37.425,94306.125,42263.625,1334.75,218975.0,30.11184488,-95.47186475
"SPOKANE, WA",SPOKANE,WA,350872,309713,6923,5415,9071,18359,1753,48362,11523,26489,42066,17298,4928,2663,57570,172052,14542,5341,1744,36.17142857,35.05714286,37.32857143,46527.28571,25528.0,771.6428571,176685.7143,47.67784036,-117.377347
"WEST PALM BEACH, FL",WEST PALM BEACH,FL,350713,216906,106443,902,8935,96049,5457,62618,8741,20889,39114,13737,4185,2473,68446,179971,19615,3316,1301,38.76666667,37.46666667,39.91666667,46452.83333,25413.16667,1109.583333,149800.0,26.7220275,-80.11260308
"SAINT PETERSBURG, FL",SAINT PETERSBURG,FL,347603,258057,64287,880,12514,24843,2957,61830,12121,24298,50085,19390,6053,3418,57813,177651,15704,5333,2015,46.275,44.8875,47.5125,47277.125,32141.1875,968.875,168118.75,27.78119319,-82.68574244
"ALEXANDRIA, VA",ALEXANDRIA,VA,342825,212344,63749,655,30505,67701,3621,30727,3178,11748,70318,47990,13765,7105,26362,211605,9440,14502,7312,36.85714286,36.5,37.25,100416.2857,51955.35714,1720.285714,478000.0,38.790834,-77.09486021
"COLUMBIA, SC",COLUMBIA,SC,339869,156318,156996,502,9608,17633,1734,36981,6880,19006,46229,22409,5512,3814,58134,184683,17209,5216,1931,30.38571429,29.67857143,31.21428571,47336.4,25283.35714,955.4545455,168900.0,34.03153193,-81.00159264
"TACOMA, WA",TACOMA,WA,333514,222034,33716,3997,27654,39048,2820,50995,11498,21427,34865,12705,3115,2007,51554,172648,16742,4208,1613,34.6952381,33.72380952,35.43809524,53903.55556,25743.2381,1007.111111,234458.8235,47.21746762,-122.4540498
"LITTLETON, CO",LITTLETON,CO,318937,289812,3882,1236,11644,28933,877,29355,4938,16618,73798,30641,6057,3249,16140,176210,8655,12797,4507,40.52,39.53,41.53,91258.1,43718.9,1380.9,321270.0,39.5597575,-105.0172915
"CORPUS CHRISTI, TX",CORPUS CHRISTI,TX,317546,273074,14109,1507,6150,194606,3839,45758,11504,15382,27323,10880,2251,2095,54365,160245,10062,3476,922,35.73888889,35.05,36.55,47032.16667,23446.77778,857.2777778,100058.8235,27.74639678,-97.42135111
"GREENSBORO, NC",GREENSBORO,NC,316478,166488,120855,1273,12291,24416,2326,42662,6058,14300,48085,19162,3917,3650,56574,163729,14125,4423,1719,35.02222222,34.21111111,35.8,44277.88889,27850.55556,764.1111111,153222.2222,36.08573367,-79.82609633
"MARIETTA, GA",MARIETTA,GA,314677,207264,66682,641,16786,42021,1964,33265,5072,15176,63497,23101,5477,3026,39938,169861,14235,9368,2576,37.18571429,35.8,38.34285714,68299.28571,34121.57143,1044.857143,217042.8571,33.95784,-84.51555671
"VANCOUVER, WA",VANCOUVER,WA,312731,255791,7413,2316,15202,31524,2088,43204,8919,21791,36037,13327,3145,2048,39529,158812,14450,6119,1838,37.52727273,36.59090909,38.4,57513.81818,28294.72727,1016.272727,216490.9091,45.66451109,-122.6043771
"TOLEDO, OH",TOLEDO,OH,311308,205020,77459,996,4838,23479,2280,57256,9942,18257,25431,10827,2483,1981,79845,152500,19990,3138,990,36.24666667,34.64,37.84666667,35529.73333,20952.73333,654.0666667,82360.0,41.6680244,-83.58736747
"FORT WAYNE, IN",FORT WAYNE,IN,310698,237994,41583,897,11322,23527,2140,49401,8119,18963,35630,14285,3561,1638,51848,157971,13180,5550,1370,35.41875,34.33125,36.35625,49289.3125,24973.5625,715.6875,107693.75,41.08014594,-85.14303925
"LEXINGTON, KY",LEXINGTON,KY,309258,235114,44956,920,10875,21337,1492,32826,8529,15230,46972,22102,7120,5941,56016,169503,11660,7849,2517,34.9,33.82666667,37.11333333,59352.14286,30899.73333,817.2142857,204328.5714,38.02912447,-84.49103513
"SILVER SPRING, MD",SILVER SPRING,MD,298533,116637,84031,767,33473,76723,5006,34636,2950,10841,47440,32699,8348,8822,28285,173795,13441,9988,5307,37.52857143,35.9,39.07142857,82692.57143,37032.85714,1551.428571,395528.5714,39.05066514,-77.01327729
"PLANO, TX",PLANO,TX,295629,199448,24180,1219,57907,40563,2061,21737,3409,13288,67728,32360,5299,3868,21282,164201,8586,16809,5660,38.05714286,37.2,38.78571429,88532.85714,41617.57143,1243.285714,249185.7143,33.04730143,-96.73076229
"KATY, TX",KATY,TX,294511,206506,31095,1395,29848,91438,2252,26686,4554,14570,52222,19037,2924,3397,21427,150480,8659,12642,3313,34.075,33.175,34.7,94176.5,35581.75,1294.5,195625.0,29.79417775,-95.78416125
"NAPLES, FL",NAPLES,FL,292357,259793,18119,541,3978,69650,3526,53915,6864,17717,45308,19124,7839,3615,33981,132246,9220,1655,660,52.34285714,51.32142857,53.15714286,61924.92857,43661.5,1144.642857,324835.7143,26.17091967,-81.7231134
"GLENDALE, AZ",GLENDALE,AZ,287559,229300,14715,4246,10842,95840,2910,41310,8380,16353,26840,10448,1965,1094,55222,143577,12249,4166,1448,34.92222222,34.25555556,35.7,56059.88889,24122.77778,1016.222222,148644.4444,33.58885544,-112.2056302
"RENO, NV",RENO,NV,286459,230955,6920,3267,16469,63019,2272,36170,6992,14581,37859,14022,4834,3914,45422,150340,12784,5415,1841,40.8,40.73333333,40.84166667,57319.33333,33067.16667,960.4166667,241258.3333,39.57966383,-119.8095074
"MADISON, WI",MADISON,WI,284782,223464,20773,917,21903,24016,1562,24284,3896,14765,53162,25959,7507,8178,50586,173510,9496,14505,5702,31.56153846,30.62307692,32.73846154,53120.08333,30497.46154,1012.846154,241675.0,43.070701,-89.32131773
"TALLAHASSEE, FL",TALLAHASSEE,FL,282909,176032,88071,914,9123,17151,1058,24527,6604,14659,41349,20676,5713,5788,60286,157207,16719,6766,3280,34.29,33.72,34.69,54417.2,27443.2,991.8,167120.0,30.46006127,-84.26365373
"HENDERSON, NV",HENDERSON,NV,281419,219879,16500,1187,21438,43786,1297,45238,6859,16050,38141,15723,4709,2452,26989,146101,13779,3324,1231,41.05,40.7375,41.3875,64247.0,33128.875,1198.75,213587.5,36.01001675,-115.0365172
